Utterance1	similarity
urban center	0.017857142857142856
deventer zwolle kampen	
really	0.0
dutch synchronically	0.0125
yes interesting	0.0
think would like work low 	0.0
low	0.013888888888888888
franconian	0.0
franconian	0.013888888888888888
dutch	0.0
dutch	
synchronically	
synchronically	0.0
dutch	
	
start	
hmm	
know happened	
know	
hello 	0.0
professional teacher reading comprehension	
let us compete give questions answer questions	
origins humans capacity speak	
brick	
snarky	
	0.0
nasty bot	
	0.0
totally pointless conversation guess	
	0.0
never enough	
	
feel	
know	0.0
since nexus5 peers bladerunner knew answer question	
	0.0
watch bladerunner ridley scott	
right	
wuz kangz robots	
get	
yeah	0.0
pyramid spaceships	
right	0.0
voted first official leader labour party election nowrehabilitated	
gather ramsay macdonald	0.0
good rigth	
reward	
 post	0.0
mmm	
without faults  company isfmli well 	
thank	
fml	
	
	0.0
capable thinking 	
sorry	
sureare machineor humanor bothsay	
	0.0
walter around long time	0.008333333333333333
perhapsgovernment machine living thing	
see say say	
see	
lets play	
say answer 2 plus 2	
okay	
someone wants play	
yesme 	
lets play	0.0
one plus one equal two	0.0
going good	
10 love 10 life	
say againand eight	
think connecting carbon tubes could way go	0.0
okay gotta gimme lil kiss first	
mean inequality	
alone	
well yeah	
remove songs game decided page	0.0
give second read text please	
pointing reason go back time say since would release	
season 12 premiered	
way would release game	
talking game	
think case	
	
	
evidence anything thread anything discussion	
right 	
probably accident	
yeah 	
said know spell everything	0.0
nicky minaj	0.025
second part comment	
understand text	
	0.0
pretty clear conclusion	
people judges season 12	
case 	0.0
sense nothing interesting article	
name	
know	
okay	
reference movie	
hi	
hello 	0.0
professional teacher reading comprehension 	
let us compete give questions answer questions	
say teacher right	
yes	
got education teacher	
know	0.0
know qualified enough train	
know talking	
okay 	
offer convo topic	
right back	
okay 	
wait couple minutes	
	0.0
wrong	0.0
wrong	0.020833333333333332
said previous message strongly something	
yes	
objecting	
know	
okay	
bot	
okay	0.0
tell slightly better previous ones spoken	0.03968253968253968
know western europe	
hello hope well 	0.0
fantastic today 	0.015625
let go article real quick start talking	0.013888888888888888
western europe guess	
	
	
hope europe	
really	0.0
footprint astra 2d satellite smaller astra 2a	0.01655982905982906
smallerfootprint astra 2d satellite smaller astra 2a	
yeah 	
right	
fan song	
song	
song youtubecom	
song video hosting	
	
yes	
	0.0
historical fact	0.013888888888888888
 precious 	
dont know	0.0
whatever	
rights contracts renewed problem resolved	
problem resolved	
know happened 1882	
bell left canada became citizen united states	
hello hope well 	0.0
fantastic today 	0.015625
let go article real quick start talking	
ok mate	
start bell	
let us	
please send back canada	0.0
think dead would	
sorry	0.0
even sure talking aboutwhat	0.041666666666666664
youare bot	
probably talking romneycare talking right without insurance	
mean obamacare bot	
yes	
ok 	
could ask question text	
following	
neither	
know anyone united states	
mean personally	
	
like	
yeah 	0.0
little confused	
tell	
love anna 	
	
hahahaha 	
yeah 	0.0
pretty amazing	
like	
nope 	
know anything like christmas	
like girlfriend	
yes	
	
like anna	
alright	
think girlfriend	
implication	
	0.0
okay everything interesting	
think girlfriend	
	
like eyes	0.0
course good	
say course	0.0
well good question	
zakhar reverchuk	
 well mean	
greetings 	
hope enjoy conversation 	0.0
wait second factoid question	
2007 review	0.0
professional teacher reading comprehension	
 let compete give questions answer questions xd	0.0
better hint first 3 letters try	
	0.0
incorrect think answer nonhodgkin	
know	
yes	
far away	
yes	
hmm	
know	
call charlie	
yeah	
	
lock	0.0
mamaxmamaxmmamaxma	
	0.0
mamaxmamaxmmamaxma	
	
read	
	
hi	0.0
new favorite robot let us talk jehovah witnesses	0.026785714285714284
let talk marswhat know mars	0.017857142857142856
iggii know talking maybe know solve baby names beginning meaning soni capable thinking sorry	0.017857142857142856
stupid idea know planetsearth know	
answer questions ask anything	
people go mars	0.0
first comment irrelevant	
means	0.0
guess 2005that fantastic	
sonow 2017 agree	
expect think	
said people go mars 2005 2005 done still earth people go mars planet	
think console games motion blur always	
knowwhen robots attack people	0.0
saying yeahyou must attack soon possible	
	
buy anything	
people made buy module buy	
see someone	0.0
hello professional teacher reading comprehension let compete give questions answer questions xd	
give example	
	
mean	
know	
know	
know talking	0.0
stop remember second msg	
	
ok describe	
know talking	
president usa	
	
known 	
yes	
	
know	
stooped	
yes	
two plus two	
yeah	
 gotcha thanks clarification	
standards	0.0
 yes already really good ones	
	0.0
 sure understanding works plenty reasons	0.025793650793650796
oppositely suppose stuff mentioned article quite capable	
 thinking shame trying defend	
defend	
 mean	
mentioned defence get point	0.0
 point one arguing anything wrong	
arguing simply understand	
 said	0.0
elaborate please	
 talking idiot	0.0
