	bigram1	bigram2
0	[]	['pills']
1	['pills']	[]
2	[]	[]
3	[]	['them']
4	['them']	['them']
5	['them']	['them']
6	['them']	['them']
7	['them']	[]
8	[]	['look']
9	['look']	[]
10	[]	['glasses']
11	['glasses']	[]
12	[]	[]
13	[]	['bathroom']
14	['bathroom']	['glasses']
15	['glasses']	[]
16	[]	['anything']
17	['anything']	['it']
18	['it']	['anything']
19	['anything']	[]
20	[]	['you']
21	['you']	['pills']
22	['pills']	['that']
23	['that']	[]
24	[]	['button']
25	['button']	['arm']
26	['arm']	['you', 'arm', 'button']
27	['you', 'arm', 'button']	[]
28	[]	['me']
29	['me']	[]
30	[]	[]
31	[]	['option']
32	['option']	[]
33	[]	['hand']
34	['hand']	['lot', 'support']
35	['lot', 'support']	['you']
36	['you']	[]
37	[]	[]
38	[]	[]
39	[]	['me', 'groceries']
40	['me', 'groceries']	[]
41	[]	[]
42	[]	['bag']
43	['bag']	[]
44	[]	[]
45	[]	['it']
46	['it']	['schedule']
47	['schedule']	[]
48	[]	['pills']
49	['pills']	['dinner']
50	['dinner']	[]
51	[]	[]
52	[]	[]
53	[]	['doctor']
54	['doctor']	[]
55	[]	['number']
56	['number']	['appointment']
57	['appointment']	['you']
58	['you']	[]
59	[]	['something']
60	['something']	[]
61	[]	[]
62	[]	['slots']
63	['slots']	[]
64	[]	['slot']
65	['slot']	[]
66	[]	['appointment']
67	['appointment']	[]
68	[]	[]
69	[]	[]
70	[]	['call']
71	['call']	['it']
72	['it']	[]
73	[]	['it']
74	['it']	[]
75	[]	[]
76	[]	['them']
77	['them']	['call']
78	['call']	[]
79	[]	[]
80	[]	[]
81	[]	['call', 'that']
82	['call', 'that']	[]
83	[]	[]
84	[]	['them']
85	['them']	[]
86	[]	[]
87	[]	[]
88	[]	['shower']
89	['shower']	[]
90	[]	[]
91	[]	['taps']
92	['taps']	['me', 'you']
93	['me', 'you']	[]
94	[]	['care']
95	['care']	['more']
96	['more']	['burner']
97	['burner']	[]
98	[]	['it']
99	['it']	[]
100	[]	[]
101	[]	[]
102	[]	[]
103	[]	[]
104	[]	['it']
105	['it']	['careless']
106	['careless']	['care']
107	['care']	['care']
108	['care']	['kettle', 'it']
109	['kettle', 'it']	['hotwater']
110	['hotwater']	['it']
111	['it']	[]
112	[]	[]
113	[]	[]
114	[]	[]
115	[]	['stuff']
116	['stuff']	['notes']
117	['notes']	[]
118	[]	[]
119	[]	[]
120	[]	[]
121	[]	[]
122	[]	['you']
123	['you']	[]
124	[]	[]
125	[]	[]
126	[]	['attack']
127	['attack']	[]
128	[]	[]
129	[]	[]
130	[]	[]
131	[]	['fear']
132	['fear']	[]
133	[]	[]
134	[]	[]
135	[]	['message']
136	['message']	[]
137	[]	['anna']
138	['anna']	['exercises']
139	['exercises']	['you']
140	['you']	[]
141	[]	[]
142	[]	[]
143	[]	[]
144	[]	['number']
145	['number']	[]
146	[]	[]
147	[]	[]
148	[]	['it']
149	['it']	['contacts']
150	['contacts']	[]
151	[]	[]
152	[]	[]
153	[]	['time']
154	['time']	['contact']
155	['contact']	[]
156	[]	[]
157	[]	['name', 'number']
158	['name', 'number']	[]
159	[]	[]
160	[]	['it']
161	['it']	['save', 'button']
162	['save', 'button']	[]
163	[]	[]
164	[]	[]
165	[]	['contact']
166	['contact']	[]
167	[]	['guidance', 'it']
168	['guidance', 'it']	['time', 'dinner']
169	['time', 'dinner']	['crostini']
170	['crostini']	[]
171	[]	['you', 'something']
172	['you', 'something']	[]
173	[]	['dinner']
174	['dinner']	[]
175	[]	[]
176	[]	[]
177	[]	[]
178	[]	[]
179	[]	[]
180	[]	[]
181	[]	[]
182	[]	['something']
183	['something']	[]
184	[]	['me']
185	['me']	[]
186	[]	[]
187	[]	[]
188	[]	['room']
189	['room']	[]
190	[]	['breakfast']
191	['breakfast']	[]
192	[]	[]
193	[]	[]
194	[]	['what']
195	['what']	[]
196	[]	[]
197	[]	[]
198	[]	[]
199	[]	['something']
200	['something']	[]
201	[]	[]
202	[]	['something']
203	['something']	[]
204	[]	[]
205	[]	['coffee']
206	['coffee']	[]
207	[]	[]
208	[]	['clothes']
209	['clothes']	[]
210	[]	['tshirt']
211	['tshirt']	[]
212	[]	[]
213	[]	['it']
214	['it']	['tshirt']
215	['tshirt']	['tshirt']
216	['tshirt']	[]
217	[]	['one']
218	['one']	[]
219	[]	['tshirts']
220	['tshirts']	['whites']
221	['whites']	['one']
222	['one']	[]
223	[]	[]
224	[]	['teeth', 'do', 'makeup']
225	['teeth', 'do', 'makeup']	[]
226	[]	['me']
227	['me']	['you']
228	['you']	[]
229	[]	[]
230	[]	[]
231	[]	['routine', 'sleep']
232	['routine', 'sleep']	[]
233	[]	[]
234	[]	[]
235	[]	[]
236	[]	[]
237	[]	[]
238	[]	[]
239	[]	['help']
240	['help']	[]
241	[]	[]
242	[]	['you']
243	['you']	[]
244	[]	[]
245	[]	[]
246	[]	[]
247	[]	[]
248	[]	[]
249	[]	[]
250	[]	['groceries']
251	['groceries']	['me']
252	['me']	[]
253	[]	[]
254	[]	[]
255	[]	['doctor']
256	['doctor']	['her']
257	['her']	['problem']
258	['problem']	[]
259	[]	[]
260	[]	[]
261	[]	['stroll']
262	['stroll']	['what']
263	['what']	[]
264	[]	[]
265	[]	['this']
266	['this']	[]
267	[]	['me']
268	['me']	['doctor']
269	['doctor']	['what', 'me']
270	['what', 'me']	['doctor']
271	['doctor']	[]
272	[]	[]
273	[]	[]
274	[]	[]
275	[]	[]
276	[]	[]
277	[]	[]
278	[]	[]
279	[]	[]
280	[]	[]
281	[]	[]
282	[]	[]
283	[]	[]
284	[]	['it']
285	['it']	[]
286	[]	[]
287	[]	[]
288	[]	[]
289	[]	[]
290	[]	[]
291	[]	[]
292	[]	[]
293	[]	[]
294	[]	[]
295	[]	[]
296	[]	['stroll']
297	['stroll']	[]
298	[]	[]
299	[]	[]
300	[]	['that']
301	['that']	[]
302	[]	['puzzle']
303	['puzzle']	[]
304	[]	[]
305	[]	[]
306	[]	[]
307	[]	['challenge']
308	['challenge']	[]
309	[]	['pieces', 'place', 'ones', 'gesture']
310	['pieces', 'place', 'ones', 'gesture']	[]
311	[]	[]
312	[]	[]
313	[]	[]
314	[]	['me']
315	['me']	[]
316	[]	[]
317	[]	[]
318	[]	['pieces']
319	['pieces']	[]
320	[]	[]
321	[]	[]
322	[]	['anyone']
323	['anyone']	[]
324	[]	[]
325	[]	['what']
326	['what']	[]
327	[]	['alzheimer']
328	['alzheimer']	['her']
329	['her']	['her', 'her']
330	['her', 'her']	[]
331	[]	[]
332	[]	['bananans', 'deal']
333	['bananans', 'deal']	[]
334	[]	['kind']
335	['kind']	[]
336	[]	['independence']
337	['independence']	[]
338	[]	['place', 'meals']
339	['place', 'meals']	['her']
340	['her']	[]
341	[]	[]
342	[]	['room']
343	['room']	[]
344	[]	['apartment', 'meals']
345	['apartment', 'meals']	['someplace']
346	['someplace']	[]
347	[]	['care', 'care', 'anything']
348	['care', 'care', 'anything']	[]
349	[]	['hope']
350	['hope']	['that']
351	['that']	['help']
352	['help']	[]
353	[]	['care']
354	['care']	[]
355	[]	[]
356	[]	[]
357	[]	['care', 'someone', 'care']
358	['care', 'someone', 'care']	[]
359	[]	[]
360	[]	['you']
361	['you']	[]
362	[]	['what', 'peace']
363	['what', 'peace']	[]
364	[]	[]
365	[]	['what']
366	['what']	[]
367	[]	['someplace', 'that', 'choices']
368	['someplace', 'that', 'choices']	[]
369	[]	[]
370	[]	[]
371	[]	['lists']
372	['lists']	[]
373	[]	[]
374	[]	[]
375	[]	[]
376	[]	['it', 'it']
377	['it', 'it']	[]
378	[]	[]
379	[]	[]
380	[]	[]
381	[]	[]
382	[]	['money']
383	['money']	['it']
384	['it']	[]
385	[]	[]
386	[]	['children']
387	['children']	[]
388	[]	[]
389	[]	['place']
390	['place']	[]
391	[]	[]
392	[]	[]
393	[]	['savings']
394	['savings']	['life']
395	['life']	['life']
396	['life']	[]
397	[]	['someplace']
398	['someplace']	[]
399	[]	[]
400	[]	[]
401	[]	['people', 'someplace']
402	['people', 'someplace']	[]
403	[]	['friends']
404	['friends']	[]
405	[]	['people']
406	['people']	[]
407	[]	['visitors', 'dogs']
408	['visitors', 'dogs']	[]
409	[]	['time']
410	['time']	[]
411	[]	['anyone']
412	['anyone']	['somebody', 'eyes', 'life', 'you', 'you']
413	['somebody', 'eyes', 'life', 'you', 'you']	[]
414	[]	[]
415	[]	[]
416	[]	['aspirations', 'hemorrhage']
417	['aspirations', 'hemorrhage']	[]
418	[]	[]
419	[]	[]
420	[]	['what']
421	['what']	['sheets', 'you']
422	['sheets', 'you']	[]
423	[]	['what']
424	['what']	['friends', 'brothers']
425	['friends', 'brothers']	['time', 'what', 'myself']
426	['time', 'what', 'myself']	['what']
427	['what']	[]
428	[]	['people']
429	['people']	[]
430	[]	[]
431	[]	['presents']
432	['presents']	['me', 'what']
433	['me', 'what']	['her', 'pair', 'birds']
434	['her', 'pair', 'birds']	['it', 'tree']
435	['it', 'tree']	[]
436	[]	['view', 'it']
437	['view', 'it']	[]
438	[]	[]
439	[]	['appointment']
440	['appointment']	[]
441	[]	['you']
442	['you']	['you']
443	['you']	['none', 'none']
444	['none', 'none']	[]
445	[]	[]
446	[]	[]
447	[]	['who', 'therapist']
448	['who', 'therapist']	['therapist']
449	['therapist']	['therapist']
450	['therapist']	[]
451	[]	[]
452	[]	[]
453	[]	[]
454	[]	['appointment']
455	['appointment']	[]
456	[]	[]
457	[]	['appointment']
458	['appointment']	['therapist']
459	['therapist']	['appointment']
460	['appointment']	[]
461	[]	[]
462	[]	['it']
463	['it']	['appointment']
464	['appointment']	[]
465	[]	[]
466	[]	['you', 'system']
467	['you', 'system']	[]
468	[]	[]
469	[]	[]
470	[]	['physiotherapist']
471	['physiotherapist']	['nurse']
472	['nurse']	[]
473	[]	[]
474	[]	[]
475	[]	[]
476	[]	[]
477	[]	['appointment']
478	['appointment']	[]
479	[]	['appointment']
480	['appointment']	['nurse']
481	['nurse']	['appointment']
482	['appointment']	[]
483	[]	['you', 'goodbye']
484	['you', 'goodbye']	['garbage']
