	utterances	interjection	adverb	subobjvrb	neg-keywords
0	[what, is, your, urban, center, ?]	[['what', 'center', '?']]	[['your', 'urban']]	[[['center'], []]]	[[[['is', 'is', 'center', 'center', 'is', 'is']]]]
1	[deventer, ,, zwolle, and, kampen]	[[',', 'zwolle', 'and', 'kampen']]	[['deventer']]	[[[], []]]	[[[['deventer', 'deventer', 'deventer', 'zwolle', 'zwolle']]]]
2	[really, ?]	[['?']]	[['really']]	[[[], []]]	[[[['really', 'really']]]]
3	[dutch, synchronically]	[[]]	[['synchronically']]	[[[], []]]	[[[['dutch', 'dutch']]]]
4	[yes, ,, it, is, interesting]	[[',']]	[['interesting']]	[[['it'], []]]	[[[['is', 'is', 'is', 'is', 'is']]]]
5	[do, you, think, you, would, like, to, work, for, low, ?]	[['?']]	[['low']]	[[['you', 'you'], []]]	[[[do, you], [would, like], [to, work]]]
6	[what, is, low, ?]	[['what', '?']]	[['low']]	[[['what'], []]]	[[[['is', 'is', 'is', 'is']]]]
7	[franconian]	[[]]	[['franconian']]	[[[], []]]	[[[['franconian']]]]
8	[what, is, franconian, ?]	[['what', '?']]	[['franconian']]	[[['franconian'], []]]	[[[['is', 'is', 'is', 'is']]]]
9	[dutch]	[[]]	[['dutch']]	[[[], []]]	[[[['dutch']]]]
10	[what, is, dutch, ?]	[['what', '?']]	[['dutch']]	[[['dutch'], []]]	[[[['is', 'is', 'is', 'is']]]]
11	[synchronically]	[[]]	[['synchronically']]	[[[], []]]	[[[['synchronically']]]]
12	[what, is, synchronically, ?]	[['what', '?']]	[['synchronically']]	[[['what'], []]]	[[[['is', 'is', 'is', 'is']]]]
13	[dutch]	[[]]	[['dutch']]	[[[], []]]	[[[['dutch']]]]
14	[what, are, you]	[['what']]	[[]]	[[['you'], []]]	[[[['are', 'are', 'are']]]]
15	[what, happened, in, the, ?]	[['what', '?']]	[[]]	[[['what'], []]]	[[[['happened', 'happened', 'happened', 'in', 'happened']]]]
16	[?]	[['?']]	[[]]	[[[], []]]	[[[['?']]]]
17	[/start]	[[]]	[[]]	[[[], []]]	[[[['/start']]]]
18	[j]	[['j']]	[[]]	[[[], []]]	[[[['j']]]]
19	[do, you, know, what, happened, in, the, ?]	[['what', '?']]	[[]]	[[['you', 'what'], []]]	[[[do, you]]]
20	[no, ,, i, do, not, know]	[[',', 'i']]	[['not']]	[[['i'], []]]	[[[do, not], [[not, know]]]]
21	[hello, .,  ]	[['.', ' ']]	[[]]	[[[], []]]	[[[['hello', 'hello', '.']]]]
22	[i, am, professional, teacher, about, reading, comprehension, .]	[['i', 'teacher', 'comprehension', '.']]	[['professional']]	[[['i'], []]]	[[[['am', 'am', 'teacher', 'am', 'teacher', 'about', 'reading', 'am']]]]
