	utterance	feats
0	good afternoon	afternoon   socialobligation
1	hello	hello   socialobligation
2	uh	uh   turnmanagement
3	what s your name	what s name name s  question
4	my name is gregor linn	name gregor name is  answer
5	nice to meet you	you socialobligation
6	nice to meet you	you socialobligation
7	uh	uh   turnmanagement
8	how are you doing today	today you doing  question
9	mh	turnmanagement
10	fine	answer
11	i m doing well too	i m i doing  inform
12	uh	uh   turnmanagement
13	lets play	lets  play directive
14	so first ill tell you the rules	rules ill tell rules inform
15	i am a very famous person	i a person i am  inform
16	okay	okay   feedback
17	uh	uh   turnmanagement
18	you need to guess my name	name you need name directive
19	okay	okay   feedback
20	you can ask several questions except for one about my name	questions name you ask questions directive
21	okay	okay   feedback
22	you do not have to ask yes or no questions	yes or questions you have questions directive
23	you can also ask open ended questions	questions you ask questions directive
24	okay i understand	okay i i understand  inform
25	you have ten tries	tries you have tries inform
26	and if after ten questions or earlier you guess my name correctly	and questions or name you guess name inform
27	you have won the game	game you won game inform
28	if not you ve lost the game	game you lost game inform
29	okay	okay   feedback
30	and	and   turnmanagement
31	you should	you should  directive
32	mhm	mhm   turnmanagement
33	what is it what you answer	what what it is you answer what question
34	uh is	uh   turnmanagement
35	is	correction
36	uhm	turnmanagement
37	could you repeat the questions	questions you repeat questions negativefeedback
38	could you clarify the question	question you clarify question negativefeedback
39	uhm	turnmanagement
40	are you just saying yes or no or	yes or no or you saying no question
41	uh	uh   turnmanagement
42	no	no   answer
43	i will if you ask me yes or no question i will say yes or no	i yes or question i yes or no i will you ask i say me inform
44	i will	i i will  correction
45	okay	okay   feedback
46	uhm	turnmanagement
47	if you ask me a more open ended question i will try to answer the question	a question i question you ask i try question question inform
48	uh	uh   turnmanagement
49	i wo nt always have an answer to your question though	i answer question i have answer inform
50	okay	okay   feedback
51	uhm	turnmanagement
52	alright	alright   interactionstructuring
53	do you understand the rules	rules you understand rules question
54	yeah	yeah   commissive
55	would you like me to repeat anything	anything you like me anything commissive
56	would you	you would  correction
57	no	no   negativefeedback
58	i think i understood everything	i i everything i think i understood everything inform
59	mh	turnmanagement
60	alright	alright   feedback
61	alright and one more important thing	alright and thing   interactionstructuring
62	and one more important thing	and thing   inform
63	i will only be female famous people	i people i be  inform
64	uh	uh   turnmanagement
65	ah okay	ah okay   feedback
66	mhm	mhm   feedback
67	alright	alright   feedback
68	alright uh	alright uh   turnmanagement
69	uh	uh   turnmanagement
70	so lets start	lets   directive
71	what is your first question	what question question is  question
72	are you still alive	you are  question
73	no i am not	no i i am  answer
74	mhm	mhm   turnmanagement
75	uhm	turnmanagement
76	uh	uh   turnmanagement
77	are you from germany	germany you are  question
78	no i am not from germany	no i germany i am  answer
79	uhm	turnmanagement
80	are you from america	america you are  question
81	no i am not from america	no i america i am  answer
82	uh	uh   turnmanagement
83	what were you doing when you were alive	what you doing you were what question
84	ehm	ehm   turnmanagement
85	let me think for a minute	a minute me think  turnmanagement
86	uhm	turnmanagement
87	i was	i i was  answer
88	i was a princess	i a princess i was  answer
89	i was	i i was  correction
90	when i was alive	i i was  answer
91	and where are you from	and you are  question
92	i am from england	i england i am  answer
93	okay	okay   feedback
94	uhm	turnmanagement
95	uh	uh   turnmanagement
96	where did you die	you die  question
97	just a second	a   turnmanagement
98	uhm	turnmanagement
99	i died in paris	i paris i died  answer
100	mhm	mhm   feedback
101	uhm	turnmanagement
102	uhm	turnmanagement
103	you are princess diana	diana you are  inform
104	uh	uh   turnmanagement
105	yes	yes   commissive
106	that is the correct answer	answer that is  inform
107	good job	job   socialobligation
108	okay	okay   feedback
109	okay	okay   turnmanagement
110	right	right   turnmanagement
111	i m starting off from above the caravan park	i m caravan park i starting  interactionstructuring
112	above	correction
113	mmhmm	mmhmm   feedback
114	okay	okay   turnmanagement
115	mmhmm	mmhmm   feedback
116	right	right   turnmanagement
117	and were going to go straight down south	and   directive
118	straight	correction
119	with the caravan park on your right hand side	caravan park hand side   directive
120	okay	okay   feedback
121	okay	okay   turnmanagement
122	and you re going to go down and then you re going to do a u shape	and and a u shape you going you going u shape directive
123	uh huh	uh huh   feedback
124	and were going to come up	and   directive
125	and were going to have the old	and  old directive
126	ehm	ehm   turnmanagement
127	are we just going	we going  question
128	are we going to go below the picket fence	picket fence we going  question
129	are we going	we going  correction
130	below what	what   negativefeedback
131	the picket	picket   answer
132	picket fence	picket fence   question
133	picket fence	picket fence   feedback
134	i do nt have one so	i i have one inform
135	i would say	i i say  inform
136	whereabouts is the picket fence	whereabouts picket fence whereabouts is  question
137	picket fence is below the mill wheel	picket fence mill wheel fence is  answer
138	which is below the caravan park	caravan park which is  inform
139	right okay	right okay   turnmanagement
140	well you want to have the old mill on your right hand side so	well mill hand side you want mill directive
141	if that fence is below the old mill you want to keep that on your right hand side	fence mill hand side fence is you want that directive
142	if that fence is below the old mill	fence mill fence is  directive
143	okay	okay   commissive
144	okay	okay   turnmanagement
145	so you re come up and then you re come above the old mill	and mill you come  directive
146	and turn r	and r  r directive
147	old mill	mill   feedback
148	old mill	mill   feedback
149	oh right i ve just got the mill wheel	oh right i mill wheel i got wheel inform
150	mill	mill   correction
151	you ve only got a mill wheel	a mill wheel you got wheel feedback
152	right okay	right okay   feedback
153	uh huh	uh huh   feedback
154	but continue past that	but   directive
155	so i m going down below the picket fence	so i m picket fence i going  question
156	right	right   turnmanagement
157	we ve come down from a caravan park and were doing a u shape	a caravan park and a u shape we come shape directive
158	mmhmm	mmhmm   feedback
