id	speaker	time	turn-index	utterance	annotations
iri0	U		0	hi alex	
iri1	S		1	you three have a good weekend.	T,O,O,T,O,X, X,X,O,X,O,X,X,X,T,O,X,X,X, O,O,X,X,X,T,X,T,X,X,X, 
iri2	U		2	thanks	
iri3	S		3	now come on, let is get out of here. i am freezing and mr.	O,X,T,T,T,X, X,O,O,O,T,X,O,X,O,T,O,X,X, O,T,X,T,O,T,X,X,O,X,O, 
iri4	U		4	it is quite cold here	
iri5	S		5	it is  wouldpose to be cold.	O,T,T,O,T,O, O,O,O,O,T,O,O,O,O,O,O,T,T, O,X,X,T,O,O,X,O,O,X,O, 
iri6	U		6	i suppose	
iri7	S		7	you can leave it there. a beat. does she really mean it?	X,O,O,T,O,X, X,X,O,O,X,X,X,X,X,T,X,X,X, O,O,O,O,X,O,T,X,X,T,T, 
iri8	U		8	i do not know	
iri9	S		9	i think it is totally weak.	X,T,T,O,T,T, T,O,O,O,T,X,X,X,T,T,T,X,X, O,T,T,T,X,O,T,X,X,X,O, 
iri10	U		10	maybe	
iri11	S		11	maybe – maybe! i do not want any maybe.	O,T,X,O,X,O, O,O,O,O,X,O,O,X,O,T,O,X,T, O,T,X,O,O,T,T,T,O,X,O, 
iri12	U		12	what do you want?	
iri13	S		13	were you asleep?	X,O,O,T,T,X, X,X,O,O,X,X,O,X,X,X,X,X,T, X,O,O,T,X,T,O,X,X,X,X, 
iri14	U		14	when?	
iri15	S		15	in a minute, look it is hot, sweetie you will burn your nose, look out.	X,X,T,T,T,X, X,X,O,T,X,X,X,X,T,X,X,X,X, O,X,X,T,X,T,X,X,O,X,X, 
iri16	U		16	what?	
iri17	S		17	the radio is gone... that means--the car is gone!	X,T,T,T,X,X, X,X,O,O,X,T,X,X,X,X,X,X,X, O,X,X,T,X,T,T,X,X,X,X, 
iri18	U		18	what car?	
iri19	S		19	i have an idea for that.	X,O,O,X,T,X, X,X,O,X,X,X,T,X,X,X,X,X,X, X,O,T,T,X,T,T,X,X,X,X, 
iri20	U		0	hi alex, you still there	
iri21	S		1	so you have been told you have cancer. well...	X,T,O,T,T,T,O,O,O,T,O,X,T,T,O,X,O,O,X,O,X,X,X,X,T,O,T,T,T,X, 
iri22	U		2	no, i do not think so	
iri23	S		3	you do not like it.	X,T,O,T,T,T,O,O,O,X,O,X,O,X,O,O,T,O,X,O,X,T,X,T,T,T,T,T,X,X, 
iri24	U		4	of course not!!!	
iri25	S		5	what i mean is, do you really know what is going on in his head?	T,X,O,T,O,O,T,O,T,T,O,X,T,O,O,X,T,O,X,O,O,T,X,X,O,T,O,O,O,X, 
iri26	U		6	no	
iri27	S		7	i told you a thousand times you should always keep, uh...	T,X,X,X,T,T,T,O,X,X,O,X,X,O,O,O,O,O,X,O,X,T,X,X,T,T,O,O,O,X, 
iri28	U		8	sorry, but i forgot	
iri29	S		9	side-kick drives away. grierson turns to david.	X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,T,O,X,X,X,X,X,X,X,T,O,T,T,T,X, 
iri30	U		10	what???	
iri31	S		11	joey points	X,X,X,X,T,T,T,O,X,X,X,X,X,X,O,T,O,X,X,X,X,X,X,X,T,O,T,T,T,X, 
iri32	U		12	you are like crazy today	
iri33	S		13	dad, this is not actually what he is like. he took some drugs and--	T,X,X,X,T,T,T,O,O,T,X,X,X,O,O,X,T,X,X,X,X,X,X,X,T,O,T,O,T,X, 
iri34	U		14	helloooo	
iri35	S		15	leave it	T,X,X,X,T,X,T,O,X,X,T,X,X,X,O,O,T,O,X,O,X,X,X,X,T,T,X,X,X,X, 
iri36	U		16	you, leave it, can we just talk?	
iri37	S		17	he persists.	X,T,X,T,X,T,T,O,X,X,X,X,T,O,O,T,O,O,X,X,X,T,X,T,T,O,T,T,T,X, 
iri38	U		18	who is he anyway?	
iri39	S		19	well... why are you asking this, by the way?	T,X,X,O,O,T,T,O,X,T,O,X,T,X,O,T,T,X,X,O,O,T,O,O,O,T,O,O,O,O, 
iri40	U		0	hi alex	
iri41	S		1	hi.	O,O,O,O, O,O,O,O,O,X,O,T,O,O,O,O,O,O,O,O,O,O,O,X, O,O,O,O,O,O, 
iri42	U		2	how are you doing today?	
iri43	S		3	i am killing myself.	T,T,O,T, T,O,O,X,X,T,X,X,O,O,X,T,O,X,T,X,O,O,T,X, T,T,O,O,O,T, 
iri44	U		4	why?	
iri45	S		5	well, i think --	T,O,O,T, O,O,O,X,X,O,X,T,X,O,O,T,X,T,O,X,O,X,T,X, X,O,O,O,T,X, 
iri46	U		6	about what?	
iri47	S		7	yeah, i heard about that.	X,T,T,T, X,T,X,X,X,X,X,T,O,T,X,X,X,T,X,X,O,X,X,X, X,X,T,O,X,T, 
iri48	U		8	what?	
iri49	S		9	i think you have a gray hair.	X,X,X,O, T,T,X,X,T,T,T,X,X,O,O,T,X,O,X,X,O,X,X,T, X,X,X,O,X,O, 
iri50	U		10	you are right	
iri51	S		11	it is like the days of the mad barber of fleet street, is not it?	T,X,X,O, T,T,X,X,X,T,X,O,X,O,X,X,O,X,T,X,O,X,X,O, X,X,X,O,X,T, 
iri52	U		12	yes	
iri53	S		13	i would like to thank you for filling in on such short notice for the vice president.	X,X,X,T, T,T,T,X,O,T,T,T,X,O,X,T,X,X,X,X,O,X,X,T, X,X,X,O,X,O, 
iri54	U		14	do you have a car?	
iri55	S		15	you lying son of a bitch...	X,X,X,X, X,T,X,X,X,X,T,X,X,T,X,X,X,X,X,X,X,X,X,X, X,X,X,T,X,X, 
iri56	U		16	do you have a car?	
iri57	S		17	this car.	O,X,X,T, X,T,X,X,X,T,X,X,X,O,O,X,X,T,X,T,X,X,X,X, X,T,X,T,X,T, 
iri58	U		18	do you have a car?	
iri59	S		19	could you please say something different?	X,T,X,T, X,X,X,X,T,T,T,O,X,O,X,X,O,T,O,T,T,X,T,T, X,X,O,T,X,X, 
iri60	U		0	i am back again	
iri61	S		1	my house is just a couple of blocks away.	T,O, X,X,X,O,O,T,O,O,O,T,T,T,O,T,T, X,X, O,O,X,O,O,T,T,X,T,X,T, 
iri62	U		2	good, are we going there?	
iri63	S		3	what are we going to do?	O,O, T,T,O,O,T,T,O,T,O,X,T,T,T,X,T, T,T, O,T,T,T,O,O,T,O,O,T,O, 
iri64	U		4	have some food for dinner, i can cook	
iri65	S		5	yes.	T,O, X,O,X,O,O,O,O,T,O,T,X,T,O,T,O, O,O, T,O,O,X,O,O,T,X,T,T,O, 
iri66	U		6	rendang	
iri67	S		7	please explain that to me!	O,O, T,O,X,O,O,O,O,X,O,T,X,X,T,O,T, T,O, O,T,O,T,O,O,T,X,O,X,O, 
iri68	U		8	rendang is a spicy meat dish which originated from the minangkabau ethnic group of indonesia	
iri69	S		9	ok, thank you for explaining it!	T,O, X,O,X,T,O,T,O,X,O,T,O,O,O,O,O, O,O, O,O,O,X,O,O,O,O,O,O,O, 
iri70	U		10	do you like rendang	
iri71	S		11	... a group from the ...	X,O, X,X,T,T,X,T,X,X,T,X,X,X,T,X,X, X,X, T,X,X,X,T,X,T,X,X,X,X, 
iri72	U		12	rendang	
iri73	S		13	... a group from the ...	X,O, T,X,T,T,X,T,X,X,X,X,X,X,X,X,X, X,X, T,X,X,X,X,X,X,X,X,X,X, 
iri74	U		14	rendang	
iri75	S		15	it is not the dish--	X,O, T,X,T,T,X,O,T,X,T,T,X,X,X,X,T, X,X, X,X,X,X,T,T,X,X,O,X,X, 
iri76	U		16	why the sequence is not in order	
iri77	S		17	everything is in order.	T,O, T,X,X,O,X,T,O,X,X,T,T,T,T,X,X, T,T, O,X,O,X,T,T,T,O,O,T,O, 
iri78	U		18	i do not think so, let me check the logs	
iri79	S		19	check.	T,O, T,O,X,T,O,O,O,X,X,O,T,T,T,X,T, T,T, T,X,O,X,T,T,O,O,T,T,O, 
iri80	U		0	hi alex	
iri81	S		1	you three have a good weekend.	O,T,O,X,O,O,X,X,X,T,X,X,O,O,T,X, T,O,X,T,X,X,X,X,X,X,X,X,X,O, 
iri82	U		2	yes. how did you know it?	
