utterance	Sender	Addressee	communicativefunction
good afternoon 	p1	p2	opening initGreeting contactManagement contactIndication
hello 	p2	p1	opening  returnGreeting  contactManagement contactIndication 
uh 	p1	p2	turnTake stalling
whats your name 	p1	p2	setQuestion
my name is gregor linn 	p2	p1	setAnswer 
nice to meet you 	p1	p2	autoPositive  initGreeting  
nice to meet you 	p2	p1	autoPositive   returnGreeting  
uh 	p1	p2	turnTake stalling
how are you doing today 	p1	p2	setQuestion
mh 	p2	p1	turnAccept
fine 	p2	p1	setAnswer 
im doing well too 	p1	p2	autoPositive  inform
uh 	p1	p2	turnKeep stalling
lets play 	p1	p2	 suggest
so first ill tell you the rules 	p1	p2	 inform interactionStructuring
i am a very famous person 	p1	p2	 inform
okay 	p2	p1	autoPositive 
uh 	p1	p2	turnKeep stalling
you need to guess my name 	p1	p2	 instruct
okay 	p2	p1	autoPositive 
you can ask several questions except for one about my name 	p1	p2	 instruct
okay 	p2	p1	autoPositive 
you do not have to ask yes or no questions 	p1	p2	 instruct
you can also ask open-ended questions 	p1	p2	 instruct 
okay i understand 	p2	p1	 inform autoPositive 
you have ten tries 	p1	p2	 inform
and if after ten questions or earlier you guess my name correctly 	p1	p2	 inform 
you have won the game 	p1	p2	 inform
if not youve lost the game 	p1	p2	 inform
okay 	p2	p1	autoPositive 
and 	p2	p1	turnGrab
you should 	p1	p2	 instruct
mhm 	p1	p2	autoPositive  turnRelease 
what is it what you answer 	p2	p1	 setQuestion
uh is 	p2	p1	turnKeep stalling
is 	p2	p1	selfCorrection 
uhm 	p1	p2	turnAccept stalling
could you repeat the questions 	p1	p2	autoNegative 
could you clarify the question 	p1	p2	autoNegative 
uhm 	p2	p1	turnTake stalling
are you just saying yes or no or 	p2	p1	 choiceQuestion 
uh 	p2	p1	turnKeep stalling
no 	p1	p2	 propositionalAnswer  turnGrab
i will if you ask me yes or no question i will say yes or no 	p1	p2	 inform 
i will 	p1	p2	selfCorrection 
okay 	p2	p1	autoPositive 
