id	annotation-id	annotations	speaker	time	turn-index	utterance
yi0	YI0014_00		S	2017-08-31 08:40:33	0	hello!
yi1	YI0014_01		U	2017-08-31 08:41:07	1	hello
yi2	YI0014_02	  O,T,O,X,T,O,X,T,T,T,T,T,T,T,T,O,O,O,T,T,X,T,O,T,O,O,O,O,O,O,  	S	2017-08-31 08:41:07	2	hello!
yi3	YI0014_03		U	2017-08-31 08:41:49	3	how are you?
yi4	YI0014_04	  O,X,O,O,T,T,X,T,T,T,T,O,T,X,X,X,O,O,T,O,T,T,T,T,O,T,T,O,T,O,  	S	2017-08-31 08:41:49	4	its beyond my possibilities! i would like to talk about you!
yi5	YI0014_05		U	2017-08-31 08:42:51	5	im from boston.
yi6	YI0014_06	  O,O,O,O,T,T,X,T,O,T,T,O,T,X,X,T,O,O,T,O,T,O,T,O,O,O,O,O,T,O,  	S	2017-08-31 08:42:51	6	good!
yi7	YI0014_07		U	2017-08-31 08:43:41	7	where are you from?
yi8	YI0014_08	  O,O,O,O,T,O,O,O,O,T,O,O,T,O,X,T,O,O,T,O,T,T,O,O,O,O,O,O,O,O,  	S	2017-08-31 08:43:41	8	i m from umbria, near perugia.
yi9	YI0014_09		U	2017-08-31 08:44:59	9	wow. do you like where you live?
yi10	YI0014_10	  O,X,O,O,T,O,X,O,O,T,T,X,T,X,T,T,O,O,T,O,T,T,O,O,O,O,O,T,T,O,  	S	2017-08-31 08:44:59	10	yeah.
yi11	YI0014_11		U	2017-08-31 08:46:00	11	do you have any children?
yi12	YI0014_12	  O,X,O,O,T,O,O,O,O,T,X,O,T,O,T,X,O,O,T,O,X,T,O,O,O,O,O,T,X,O,  	S	2017-08-31 08:46:00	12	no.
yi13	YI0014_13		U	2017-08-31 08:47:09	13	i have 3 daughters.
yi14	YI0014_14	  O,X,O,T,T,T,X,T,T,T,X,T,T,X,T,T,O,T,X,O,T,T,O,X,T,X,T,T,O,O,  	S	2017-08-31 08:47:09	14	what a joke!
yi15	YI0014_15		U	2017-08-31 08:48:16	15	seriously. we can not make boys. haha
yi16	YI0014_16	  O,X,O,T,T,T,T,T,O,T,X,T,T,T,T,T,O,O,X,O,T,T,O,O,T,O,T,T,T,O,  	S	2017-08-31 08:48:16	16	what a joke
yi17	YI0014_17		U	2017-08-31 08:49:41	17	do you want children?
yi18	YI0014_18	  O,O,O,O,T,O,X,T,O,T,X,O,T,O,T,T,O,O,T,O,T,T,O,O,O,O,O,O,X,O,  	S	2017-08-31 08:49:41	18	no.
yi19	YI0014_19		U	2017-08-31 08:50:47	19	don not blame you. love my children but they are so much work. 
