id	annotations	speaker	time	turn-index	utterance
id		U		0	hi
tktk0	T, T, X, X, O, T, O, O, O, O, O, O, O, T, O, O, X, O, X, T, O, X, O, X, T, X, O, O, O, O, 	S		1	let me know something youre interested in.
tktk1		U		2	tacos
tktk2	X, X, X, X, X, X, X, X, X, X, X, X, X, T, T, X, X, X, T, X, X, X, X, X, X, X, X, X, O, T, 	S		3	do not argue with an idiot. he will drag you down to his level and beat you with experience.
tktk3		U		4	what?
tktk4	X, X, X, X, X, X, X, X, T, T, X, X, X, T, T, X, X, T, X, X, X, X, X, X, X, X, T, O, O, T, 	S		5	well, i think people are going to find out soon enough sunday night on cbs.
tktk5		U		6	what does that mean
tktk6	O, X, X, T, X, X, O, X, T, X, T, X, X, T, X, X, T, X, T, X, X, X, X, X, X, X, T, T, O, T, 	S		7	i never make the same mistake twice. i make it five and six times, just to be sure.
tktk7		U		8	please talk to me, i am lonely.
tktk8	O, X, X, O, X, X, O, X, O, O, O, O, O, O, O, O, X, O, T, O, X, T, O, X, T, T, O, O, O, O, 	S		9	let us make a plan to see the latest star war movies together
tktk9		U		10	please talk to me, i am lonely.
tktk10	O, X, T, O, T, X, O, X, O, O, O, O, O, O, O, T, X, O, T, O, X, T, O, T, T, T, O, O, O, O, 	S		11	do you want to go to my firends party tonight
tktk11		U		12	that typo though.
tktk12	O, X, X, X, X, X, X, X, X, X, X, X, T, T, X, O, X, X, X, X, X, X, X, X, X, X, T, X, O, T, 	S		13	do not argue with an idiot. he will drag you down to his level and beat you with experience.
tktk13		U		14	you already said that.
tktk14	O, X, X, X, X, X, O, X, O, O, O, O, T, O, T, O, X, O, T, O, X, X, O, T, X, X, O, T, O, O, 	S		15	do you want to go to my firends party tonight
tktk15		U		16	typo
tktk16	X, X, X, X, T, X, O, T, O, X, X, T, X, X, T, O, X, O, T, X, X, X, O, X, X, X, O, O, O, O, 	S		17	can we talk about something else?
tktk17		U		18	no.
tktk18	O, X, X, X, X, X, T, T, X, X, O, X, X, T, O, T, X, T, T, O, T, T, X, T, O, T, O, T, O, T, 	S		19	hmm. any thoughts?
tktk19		U		0	send message
tktk20	X, T, T, T, X, T, O, O, T, O, X, X, X, T, T, T, O, O, X, X, X, X, T, T, X, O, X, O, O, T, 	S		1	you know, hey everyone were in sochi. can you share some interesting stuff with me?
tktk21		U		2	about what?
tktk22	O, T, X, T, X, T, T, T, T, O, X, X, T, O, T, O, T, T, T, O, T, T, T, T, X, O, X, X, T, X, 	S		3	i would say, it was probably something that i didnt realize at the time, like a family ski trip with my dad and my mom. what do you think?
tktk23		U		4	i dont ski
tktk24	O, T, T, X, X, T, T, T, T, O, T, X, X, T, T, X, O, T, X, X, T, X, T, X, O, T, O, X, T, O, 	S		5	i certainly try. what do you think?
tktk25		U		6	i dont ski and hate the cold and snow
tktk26	O, O, O, O, X, O, T, O, O, O, O, O, O, O, O, T, X, T, O, T, T, O, T, O, O, T, O, T, T, O, 	S		7	really i love the cold
tktk27		U		8	why would you love the cold?
tktk28	O, T, T, T, X, X, X, T, T, T, X, X, X, T, T, X, X, X, T, X, T, T, X, X, T, O, X, T, T, X, 	S		9	uh-huh, i do.
tktk29		U		10	why? it makes me hurt since i have ra
tktk30	X, T, X, X, X, O, X, T, T, O, X, X, X, X, T, T, O, O, T, X, X, X, O, X, T, T, X, O, T, T, 	S		11	let us do something fun together
tktk31		U		12	like what?
tktk32	T, X, X, X, X, X, X, X, T, T, X, X, X, X, T, X, T, X, X, T, T, T, X, X, X, X, X, T, T, X, 	S		13	thats the picture there.
tktk33		U		14	what picture
tktk34	T, X, X, T, X, O, X, T, T, O, X, T, T, T, T, T, O, T, T, X, X, X, T, X, T, O, X, T, T, O, 	S		15	lets rewind. can we talk about something else?
tktk35		U		16	what do you want to talk a bout
