	utterances	interjection	adverb	subobjvrb	neg-keywords
0	[hi]	[[]]	[[]]	[[[], []]]	[[[['hi']]]]
1	[let, me, know, something, you, re, interested, in, .]	[['something', '.']]	[['interested']]	[[['me', 'you'], []]]	[[[['let', 'know', 'let', 'know', 're', 'something', 're', 'interested', 'let']]]]
2	[tacos]	[['tacos']]	[[]]	[[[], []]]	[[[['tacos']]]]
3	[do, not, argue, with, an, idiot, ., he, will, drag, you, down, to, his, level, and, beat, you, with, experience, .]	[['idiot', '.', 'level', 'and', 'experience', '.']]	[['not', 'his']]	[[['he'], []]]	[[[do, not], [[not, argue]]], [[will, drag]]]
4	[what, ?]	[['what', '?']]	[[]]	[[[], []]]	[[[['what', 'what']]]]
5	[well, ,, i, think, people, are, going, to, find, out, soon, enough, sunday, night, on, cbs, .]	[[',', 'i', 'people', 'sunday', 'night', 'cbs', '.']]	[['soon', 'enough']]	[[['i', 'people'], []]]	[[[are, going], [to, find]]]
6	[what, does, that, mean]	[['what']]	[[]]	[[['that'], []]]	[[[does, that]]]
7	[i, never, make, the, same, mistake, twice, ., i, make, it, five, and, six, times, ,, just, to, be, sure, .]	[['i', 'mistake', '.', 'i', 'and', 'times', ',', '.']]	[['never', 'same', 'twice', 'just', 'sure']]	[[['i', 'i', 'it'], []]]	[[[[never, make]]], [[to, be]]]
8	[please, talk, to, me, ,, i, am, lonely, .]	[[',', 'i', '.']]	[['lonely']]	[[['i'], []]]	[[[['talk', 'am', 'talk', 'to', 'am', 'am', 'am', 'am', 'am']]]]
9	[let, us, make, a, plan, to, see, the, latest, star, war, movies, together]	[['a', 'plan', 'star', 'war', 'movies']]	[['latest', 'together']]	[[['us'], []]]	[[[to, see]]]
10	[please, talk, to, me, ,, i, am, lonely, .]	[[',', 'i', '.']]	[['lonely']]	[[['i'], []]]	[[[['talk', 'am', 'talk', 'to', 'am', 'am', 'am', 'am', 'am']]]]
11	[do, you, want, to, go, to, my, firends, party, tonight]	[['firends', 'party', 'tonight']]	[['my']]	[[['you'], []]]	[[[do, you], [to, go]]]
12	[that, typo, though, .]	[['typo', '.']]	[['though']]	[[[], []]]	[[[['typo', 'typo', 'typo', 'typo']]]]
13	[do, not, argue, with, an, idiot, ., he, will, drag, you, down, to, his, level, and, beat, you, with, experience, .]	[['idiot', '.', 'level', 'and', 'experience', '.']]	[['not', 'his']]	[[['he'], []]]	[[[do, not], [[not, argue]]], [[will, drag]]]
14	[you, already, said, that, .]	[['.']]	[['already']]	[[['you'], []]]	[[[['said', 'said', 'said', 'said', 'said']]]]
15	[do, you, want, to, go, to, my, firends, party, tonight]	[['firends', 'party', 'tonight']]	[['my']]	[[['you'], []]]	[[[do, you], [to, go]]]
16	[typo]	[[]]	[['typo']]	[[[], []]]	[[[['typo']]]]
17	[can, we, talk, about, something, else, ?]	[['something', '?']]	[['else']]	[[['we'], []]]	[[[can, we]]]
18	[no, .]	[['.']]	[[]]	[[[], []]]	[[[['no', 'no']]]]
19	[hmm, ., any, thoughts, ?]	[['.', 'thoughts', '?']]	[[]]	[[[], []]]	[[[['hmm', 'hmm', 'thoughts', 'thoughts', 'thoughts']]], [[['hmm', 'hmm', 'thoughts', 'thoughts', 'thoughts']]]]
20	[send, message]	[['message']]	[[]]	[[[], []]]	[[[['send', 'send']]]]
21	[you, know, ,, hey, everyone, were, in, sochi, ., can, you, share, some, interesting, stuff, with, me, ?]	[[',', 'everyone', 'sochi', '.', 'stuff', '?']]	[['interesting']]	[[['you', 'everyone', 'you'], []]]	[[[['know', 'were', 'were', 'were', 'were', 'were', 'were', 'in', 'were', 'share', 'share', 'share', 'stuff', 'stuff', 'share', 'share', 'with', 'share']]], [[can, you]]]
22	[about, what, ?]	[['what', '?']]	[[]]	[[[], []]]	[[[['what', 'what', 'what']]]]
23	[i, would, say, ,, it, was, probably, something, that, i, did, nt, realize, at, the, time, ,, like, a, family, ski, trip, with, my, dad, and, my, mom, ., what, do, you, think, ?]	[['i', ',', 'something', 'i', 'time', ',', 'a', 'family', 'ski', 'trip', 'dad', 'and', 'mom', '.', 'what', '?']]	[['probably', 'that', 'nt', 'my', 'my']]	[[['i', 'it', 'i', 'you'], []]]	[[[would, say], [did, nt]], [[do, you]]]
24	[i, do, nt, ski]	[['i']]	[['nt']]	[[['i'], []]]	[[[do, nt]]]
25	[i, certainly, try, ., what, do, you, think, ?]	[['i', '.', 'what', '?']]	[['certainly']]	[[['i', 'you'], []]]	[[[['try', 'try', 'try', 'try', 'think', 'think', 'think', 'think', 'think']]], [[do, you]]]
