	utterances	interjection	adverb	subobjvrb	neg-keywords
0	[good, afternoon]	[['afternoon']]	[['good', 'afternoon']]	[[[], []]]	[[[['afternoon', 'afternoon']], nan]]
1	[hello]	[['hello']]	[[]]	[[[], []]]	[[[['hello']], nan]]
2	[uh]	[['uh']]	[[]]	[[[], []]]	[[[['uh']], nan]]
3	[what, s, your, name]	[['what', 's', 'name']]	[['what', '-PRON-', 'name']]	[[[('name', 's')], []]]	[[[['s', 's', 'name', 's']], nan]]
4	[my, name, is, gregor, linn]	[['name', 'gregor']]	[['-PRON-', 'name', 'gregor', 'linn']]	[[[('name', 'is')], []]]	[[[['name', 'is', 'is', 'linn', 'is']], nan]]
5	[nice, to, meet, you]	[[]]	[['nice', '-PRON-']]	[[[], []]]	[[[to, meet], nan]]
6	[nice, to, meet, you]	[[]]	[['nice', '-PRON-']]	[[[], []]]	[[[to, meet], nan]]
7	[uh]	[['uh']]	[[]]	[[[], []]]	[[[['uh']], nan]]
8	[how, are, you, doing, today]	[['today']]	[['how', 'today']]	[[[('you', 'doing')], []]]	[[[are, you], nan]]
9	[mh]	[[]]	[[]]	[[[], []]]	[[[['mh']], nan]]
10	[fine]	[[]]	[['fine']]	[[[], []]]	[[[['fine']], nan]]
11	[i, m, doing, well, too]	[['i', 'm']]	[['well', 'too']]	[[[('i', 'doing')], []]]	[[[['doing', 'doing', 'doing', 'doing', 'doing']], nan]]
12	[uh]	[['uh']]	[[]]	[[[], []]]	[[[['uh']], nan]]
13	[lets, play]	[['lets']]	[['let', 'play']]	[[[], []]]	[[[['lets', 'lets']], nan]]
14	[so, first, ill, tell, you, the, rules]	[['rules']]	[['so', 'first', 'ill', 'rule']]	[[[('ill', 'tell')], []]]	[[[['tell', 'ill', 'tell', 'tell', 'tell', 'rules', 'tell']], nan]]
15	[i, am, a, very, famous, person]	[['i', 'a', 'person']]	[['very', 'famous', 'person']]	[[[('i', 'am')], []]]	[[[['am', 'am', 'person', 'famous', 'person', 'am']], nan]]
16	[okay]	[['okay']]	[[]]	[[[], []]]	[[[['okay']], nan]]
17	[uh]	[['uh']]	[[]]	[[[], []]]	[[[['uh']], nan]]
18	[you, need, to, guess, my, name]	[['name']]	[['-PRON-', 'name']]	[[[('you', 'need')], []]]	[[[to, guess], nan]]
19	[okay]	[['okay']]	[[]]	[[[], []]]	[[[['okay']], nan]]
20	[you, can, ask, several, questions, except, for, one, about, my, name]	[['questions', 'name']]	[['several', 'question', '-PRON-', 'name']]	[[[('you', 'ask')], []]]	[[[can, ask], nan]]
21	[okay]	[['okay']]	[[]]	[[[], []]]	[[[['okay']], nan]]
22	[you, do, not, have, to, ask, yes, or, no, questions]	[['yes', 'or', 'questions']]	[['not', 'question']]	[[[('you', 'have')], []]]	[[[do, not], [[not, have]], [to, ask], nan]]
